Date,Close,GDP,Inflation,Interest Rate,VIX,Stock_Returns
2023-08-28,990.2000122070312,6.1,6.912442396,6.5,14.625,0.007222090120449831
2023-08-29,980.7000122070312,6.1,6.912442396,6.5,14.625,-0.009594021291542632
2023-08-30,983.3499755859375,6.1,6.912442396,6.5,14.625,0.0027021141489971257
2023-08-31,973.5,6.1,6.912442396,6.5,14.625,-0.010016754797871785
2023-09-01,991.1500244140625,5.7,5.02,6.5,15.205,0.01813048219215463
2023-09-04,982.25,5.7,5.02,6.5,15.205,-0.008979492705278314
2023-09-05,981.4500122070312,5.7,5.02,6.5,15.205,-0.0008144441771125166
2023-09-06,965.0499877929688,5.7,5.02,6.5,15.205,-0.016709994610100476
2023-09-07,978.2000122070312,5.7,5.02,6.5,15.205,0.013626262453135807
2023-09-08,980.2999877929688,5.7,5.02,6.5,15.205,0.0021467752604087398
2023-09-11,1000.400024414062,5.7,5.02,6.5,15.205,0.02050396498152174
2023-09-12,1000.900024414062,5.7,5.02,6.5,15.205,0.0004998000677707282
2023-09-13,1014.450012207031,5.7,5.02,6.5,15.205,0.01353780343936073
2023-09-14,1020.900024414062,5.7,5.02,6.5,15.205,0.006358137049058188
2023-09-15,1027.150024414062,5.7,5.02,6.5,15.205,0.006122049025894638
2023-09-18,1024.75,5.7,5.02,6.5,15.205,-0.0023365860458710586
2023-09-20,1027.300048828125,5.7,5.02,6.5,15.205,0.002488459456574832
2023-09-21,1014.450012207031,5.7,5.02,6.5,15.205,-0.012508552526355299
2023-09-22,1018.25,5.7,5.02,6.5,15.205,0.0037458600692426014
2023-09-25,1018.950012207031,5.7,5.02,6.5,15.205,0.0006874659533817606
2023-09-26,1014.150024414062,5.7,5.02,6.5,15.205,-0.004710719599062885
2023-09-27,1025.199951171875,5.7,5.02,6.5,15.205,0.010895751606570414
2023-09-28,1030.900024414062,5.7,5.02,6.5,15.205,0.005559962459685597
2023-09-29,1036.699951171875,5.7,5.02,6.5,15.205,0.00562608072602333
2023-10-03,1041.050048828125,5.5,4.87,6.5,14.425,0.004196100956050719
2023-10-04,995.5499877929688,5.5,4.87,6.5,14.425,-0.04370593045586435
2023-10-05,1003.25,5.5,4.87,6.5,14.425,0.007734430517247537
2023-10-06,1000.950012207031,5.5,4.87,6.5,14.425,-0.0022925370475643803
2023-10-09,996.25,5.5,4.87,6.5,14.425,-0.00469555137590516
2023-10-10,1012.25,5.5,4.87,6.5,14.425,0.016060225846926013
2023-10-11,1019.099975585938,5.5,4.87,6.5,14.425,0.006767078869783116
2023-10-12,1018.450012207031,5.5,4.87,6.5,14.425,-0.0006377817628081539
2023-10-13,994.0499877929688,5.5,4.87,6.5,14.425,-0.023957999039330602
2023-10-16,1004.799987792969,5.5,4.87,6.5,14.425,0.010814345487662802
2023-10-17,1008.049987792969,5.5,4.87,6.5,14.425,0.0032344745615877635
2023-10-18,992.8499755859375,5.5,4.87,6.5,14.425,-0.01507862942423166
2023-10-19,991.4000244140625,5.5,4.87,6.5,14.425,-0.0014603930176050328
2023-10-20,980.3499755859375,5.5,4.87,6.5,14.425,-0.011145903324599749
2023-10-23,964.2999877929688,5.5,4.87,6.5,14.425,-0.016371691939275013
2023-10-25,955.4500122070312,5.5,4.87,6.5,14.425,-0.009177616610980932
2023-10-26,972.0499877929688,5.5,4.87,6.5,14.425,0.01737398647114219
2023-10-27,1002.75,5.5,4.87,6.5,14.425,0.031582750468147625
2023-10-30,989.2000122070312,5.5,4.87,6.5,14.425,-0.013512827517296211
2023-10-31,981.8499755859375,5.5,4.87,6.5,14.425,-0.007430283593198639
2023-11-01,971.7999877929688,5.3,5.55,6.5,14.7,-0.010235767217869784
2023-11-02,982.9500122070312,5.3,5.55,6.5,14.7,0.011473579495905328
2023-11-03,988.8499755859375,5.3,5.55,6.5,14.7,0.006002302564358297
2023-11-06,1009.400024414062,5.3,5.55,6.5,14.7,0.020781766026689574
2023-11-07,1020.900024414062,5.3,5.55,6.5,14.7,0.011392906401677116
2023-11-08,1021.700012207031,5.3,5.55,6.5,14.7,0.0007836103181877441
2023-11-09,1021.900024414062,5.3,5.55,6.5,14.7,0.0001957641231684626
2023-11-10,1029.199951171875,5.3,5.55,6.5,14.7,0.007143484277729151
2023-11-13,1025.349975585938,5.3,5.55,6.5,14.7,-0.003740745985805094
2023-11-15,1041.349975585938,5.3,5.55,6.5,14.7,0.015604428127924619
2023-11-16,1026.349975585938,5.3,5.55,6.5,14.7,-0.014404379268900369
2023-11-17,994.3499755859375,5.3,5.55,6.5,14.7,-0.031178448639541112
2023-11-20,988.7000122070312,5.3,5.55,6.5,14.7,-0.00568206719729325
2023-11-21,991.7999877929688,5.3,5.55,6.5,14.7,0.0031354056312971057
2023-11-22,998.0999755859375,5.3,5.55,6.5,14.7,0.006352074884562242
2023-11-23,999.0499877929688,5.3,5.55,6.5,14.7,0.0009518206895793302
2023-11-24,1008.5,5.3,5.55,6.5,14.7,0.009458998370949878
2023-11-28,1021.150024414062,5.3,5.55,6.5,14.7,0.012543405467587476
2023-11-29,1060.150024414062,5.3,5.55,6.5,14.7,0.038192233332588144
2023-11-30,1074.25,5.3,5.55,6.5,14.7,0.013299981381154957
2023-12-01,1104.650024414062,5.6,5.69,6.5,14.3725,0.02829883585204751
2023-12-04,1125.599975585938,5.6,5.69,6.5,14.3725,0.018965238499848214
2023-12-05,1132.449951171875,5.6,5.69,6.5,14.3725,0.006085621654683626
2023-12-06,1120.5,5.6,5.69,6.5,14.3725,-0.010552299604507098
2023-12-07,1117.849975585938,5.6,5.69,6.5,14.3725,-0.0023650374065703472
2023-12-08,1131.199951171875,5.6,5.69,6.5,14.3725,0.011942546743751947
2023-12-11,1116.5,5.6,5.69,6.5,14.3725,-0.012995006900987316
2023-12-12,1131.0,5.6,5.69,6.5,14.3725,0.01298701298701288
2023-12-13,1114.849975585938,5.6,5.69,6.5,14.3725,-0.014279420348419114
2023-12-14,1120.449951171875,5.6,5.69,6.5,14.3725,0.005023075488694184
2023-12-15,1120.349975585938,5.6,5.69,6.5,14.3725,-8.922806934164029e-05
2023-12-18,1111.349975585938,5.6,5.69,6.5,14.3725,-0.008033204084547774
2023-12-19,1120.25,5.6,5.69,6.5,14.3725,0.00800830036404121
2023-12-20,1110.25,5.6,5.69,6.5,14.3725,-0.008926578888640901
2023-12-21,1095.400024414062,5.6,5.69,6.5,14.3725,-0.013375343918881288
2023-12-22,1088.300048828125,5.6,5.69,6.5,14.3725,-0.006481628106348558
2023-12-26,1094.25,5.6,5.69,6.5,14.3725,0.005467197376570754
2023-12-27,1106.349975585938,5.6,5.69,6.5,14.3725,0.011057779836360915
2023-12-28,1107.849975585938,5.6,5.69,6.5,14.3725,0.0013558096742449788
2023-12-29,1102.300048828125,5.6,5.69,6.5,14.3725,-0.0050096374781049
2024-01-01,1097.699951171875,6.2,5.1,6.5,14.45,-0.004173181032823492
2024-01-02,1093.25,6.2,5.1,6.5,14.45,-0.004053886644637572
2024-01-03,1098.599975585938,6.2,5.1,6.5,14.45,0.004893643344100473
2024-01-04,1123.400024414062,6.2,5.1,6.5,14.45,0.022574230274215124
2024-01-05,1136.949951171875,6.2,5.1,6.5,14.45,0.012061533259161372
2024-01-08,1122.0,6.2,5.1,6.5,14.45,-0.013149172623179939
2024-01-09,1116.550048828125,6.2,5.1,6.5,14.45,-0.004857353985628365
2024-01-10,1107.0,6.2,5.1,6.5,14.45,-0.0085531757740267
2024-01-11,1125.75,6.2,5.1,6.5,14.45,0.01693766937669383
2024-01-12,1120.349975585938,6.2,5.1,6.5,14.45,-0.0047968238188426104
2024-01-15,1119.5,6.2,5.1,6.5,14.45,-0.000758669705413606
2024-01-16,1119.099975585938,6.2,5.1,6.5,14.45,-0.0003573241751335665
2024-01-17,1082.300048828125,6.2,5.1,6.5,14.45,-0.03288350242215421
2024-01-18,1097.5,6.2,5.1,6.5,14.45,0.014044119454982074
2024-01-19,1116.550048828125,6.2,5.1,6.5,14.45,0.0173576754698177
2024-01-23,1089.25,6.2,5.1,6.5,14.45,-0.024450358366629232
2024-01-24,1059.150024414062,6.2,5.1,6.5,14.45,-0.027633670494319862
2024-01-25,1042.25,6.2,5.1,6.5,14.45,-0.015956213968282174
2024-01-29,1061.25,6.2,5.1,6.5,14.45,0.01822979131686253
2024-01-30,1054.099975585938,6.2,5.1,6.5,14.45,-0.006737361049763968
2024-01-31,1067.75,6.2,5.1,6.5,14.45,0.012949458998397612
2024-02-01,1084.25,6.3,5.09,6.5,14.5275,0.015453055490517453
2024-02-02,1067.050048828125,6.3,5.09,6.5,14.5275,-0.0158634550812774
2024-02-05,1061.5,6.3,5.09,6.5,14.5275,-0.005201301320608365
2024-02-06,1050.050048828125,6.3,5.09,6.5,14.5275,-0.010786576704545414
2024-02-07,1069.099975585938,6.3,5.09,6.5,14.5275,0.018141922643661657
2024-02-08,1035.900024414062,6.3,5.09,6.5,14.5275,-0.031054112739718365
2024-02-09,1051.400024414062,6.3,5.09,6.5,14.5275,0.014962833897766536
2024-02-12,1046.699951171875,6.3,5.09,6.5,14.5275,-0.004470299727077132
2024-02-13,1070.75,6.3,5.09,6.5,14.5275,0.022977022977022976
2024-02-14,1096.849975585938,6.3,5.09,6.5,14.5275,0.02437541497636042
2024-02-15,1072.199951171875,6.3,5.09,6.5,14.5275,-0.02247346944680828
2024-02-16,1068.75,6.3,5.09,6.5,14.5275,-0.0032176378744508405
2024-02-19,1062.949951171875,6.3,5.09,6.5,14.5275,-0.005426946271929856
2024-02-20,1088.599975585938,6.3,5.09,6.5,14.5275,0.02413098037756578
2024-02-21,1084.199951171875,6.3,5.09,6.5,14.5275,-0.0040419111820158005
2024-02-22,1100.900024414062,6.3,5.09,6.5,14.5275,0.015403130413478072
2024-02-23,1096.800048828125,6.3,5.09,6.5,14.5275,-0.003724203374524615
2024-02-26,1085.199951171875,6.3,5.09,6.5,14.5275,-0.010576310302542469
2024-02-27,1079.050048828125,6.3,5.09,6.5,14.5275,-0.005667068393348962
2024-02-28,1074.199951171875,6.3,5.09,6.5,14.5275,-0.004494784705785682
2024-02-29,1075.099975585938,6.3,5.09,6.5,14.5275,0.0008378555715637948
2024-03-01,1099.25,6.0,4.85,6.5,14.14,0.022463049913939548
2024-03-04,1106.75,6.0,4.85,6.5,14.14,0.006822833750284252
2024-03-05,1100.800048828125,6.0,4.85,6.5,14.14,-0.005376057078721463
2024-03-06,1125.0,6.0,4.85,6.5,14.14,0.021983966295820334
2024-03-07,1111.449951171875,6.0,4.85,6.5,14.14,-0.01204448784722223
2024-03-11,1105.099975585938,6.0,4.85,6.5,14.14,-0.005713235741512057
2024-03-12,1097.0,6.0,4.85,6.5,14.14,-0.007329631494782385
2024-03-13,1080.400024414062,6.0,4.85,6.5,14.14,-0.015132156413799391
2024-03-14,1058.25,6.0,4.85,6.5,14.14,-0.02050168818357323
2024-03-15,1046.400024414062,6.0,4.85,6.5,14.14,-0.011197709034668546
2024-03-18,1061.349975585938,6.0,4.85,6.5,14.14,0.014287032514403109
2024-03-19,1050.800048828125,6.0,4.85,6.5,14.14,-0.009940101757658804
2024-03-20,1034.75,6.0,4.85,6.5,14.14,-0.015274122651616096
2024-03-21,1035.599975585938,6.0,4.85,6.5,14.14,0.0008214308634335588
2024-03-22,1033.300048828125,6.0,4.85,6.5,14.14,-0.0022208640517895617
2024-03-26,1040.550048828125,6.0,4.85,6.5,14.14,0.007016355034747512
2024-03-27,1052.849975585938,6.0,4.85,6.5,14.14,0.011820600817486149
2024-03-28,1047.199951171875,6.0,4.85,6.5,14.14,-0.005366409787793902
2024-04-01,1053.099975585938,6.1,4.83,6.5,14.1075,0.005634095386903404
2024-04-02,1047.199951171875,6.1,4.83,6.5,14.1075,-0.005602530197363453
2024-04-03,1063.25,6.1,4.83,6.5,14.1075,0.015326632521481809
2024-04-04,1062.949951171875,6.1,4.83,6.5,14.1075,-0.0002821996972725005
2024-04-05,1059.099975585938,6.1,4.83,6.5,14.1075,-0.003621972588354283
2024-04-08,1076.050048828125,6.1,4.83,6.5,14.1075,0.016004223994821265
2024-04-09,1080.0,6.1,4.83,6.5,14.1075,0.0036707875959642866
2024-04-10,1087.800048828125,6.1,4.83,6.5,14.1075,0.007222267433449003
2024-04-12,1073.449951171875,6.1,4.83,6.5,14.1075,-0.013191852373705237
2024-04-15,1057.949951171875,6.1,4.83,6.5,14.1075,-0.014439424942987555
2024-04-16,1051.900024414062,6.1,4.83,6.5,14.1075,-0.0057185377730879505
2024-04-18,1024.0,6.1,4.83,6.5,14.1075,-0.026523456380375232
2024-04-19,1029.099975585938,6.1,4.83,6.5,14.1075,0.004980444908142534
2024-04-22,1053.949951171875,6.1,4.83,6.5,14.1075,0.02414729003543914
2024-04-23,1055.75,6.1,4.83,6.5,14.1075,0.0017079073120347399
2024-04-24,1063.25,6.1,4.83,6.5,14.1075,0.007103954534690926
2024-04-25,1127.0,6.1,4.83,6.5,14.1075,0.05995767693392895
2024-04-26,1130.300048828125,6.1,4.83,6.5,14.1075,0.002928171098602439
2024-04-29,1159.25,6.1,4.83,6.5,14.1075,0.025612624897158653
2024-04-30,1165.900024414062,6.1,4.83,6.5,14.1075,0.005736488603892198
2024-05-02,1149.849975585938,5.9,4.75,6.5,13.7775,-0.013766230801985135
2024-05-03,1141.5,5.9,4.75,6.5,13.7775,-0.007261795680504335
2024-05-06,1143.650024414062,5.9,4.75,6.5,13.7775,0.001883508028087677
2024-05-07,1127.699951171875,5.9,4.75,6.5,13.7775,-0.013946638308654724
2024-05-08,1128.650024414062,5.9,4.75,6.5,13.7775,0.0008424876149013549
2024-05-09,1115.650024414062,5.9,4.75,6.5,13.7775,-0.011518185193633346
2024-05-10,1120.099975585938,5.9,4.75,6.5,13.7775,0.0039886622816263095
2024-05-13,1132.0,5.9,4.75,6.5,13.7775,0.01062407345186922
2024-05-14,1122.849975585938,5.9,4.75,6.5,13.7775,-0.008083060436450573
2024-05-15,1128.050048828125,5.9,4.75,6.5,13.7775,0.004631138046268024
2024-05-16,1139.300048828125,5.9,4.75,6.5,13.7775,0.00997296175970841
2024-05-17,1141.349975585938,5.9,4.75,6.5,13.7775,0.0017992861142430705
